"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","32","0","0","0","0"
"Infrastructure problems","32","0","0","0","0"
"Test passed","0","0","3","0","0"
"Ignored tests","0","0","0","1","0"
