"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","40","0","0","0","0"
"Infrastructure problems","40","0","0","0","0"
"Test passed","0","0","24","0","0"
"Ignored tests","0","0","0","6","0"
