"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","52","0","0","0","0"
"Infrastructure problems","51","0","0","0","0"
"Test passed","0","0","5","0","0"
"Ignored tests","0","0","0","2","0"
