"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jan 14 14:11:23 GMT 2021","Thu Jan 14 14:11:59 GMT 2021","35667","","Content Management Policy Editing @content-management-policy-editing","","Content Management Policy Editing @content-management-policy-editing","I can publish a draft Adaptation Policy {""FileType"":""pdf"",""ContentFlag"":""Acroform"",""DraftFlagType"":""disallow"",""CurrentFlagType"":""sanitise""} @functional @TEST-240","I can publish a draft Adaptation Policy {""FileType"":""pdf"",""ContentFlag"":""Acroform"",""DraftFlagType"":""disallow"",""CurrentFlagType"":""sanitise""} @functional @TEST-240",""
"failed","Thu Jan 14 14:08:49 GMT 2021","Thu Jan 14 14:09:22 GMT 2021","33246","","content-management-policy-application-to-files @content-management-policy-application-to-files","","content-management-policy-application-to-files @content-management-policy-application-to-files","Content Management policy is correctly applied to processed files {""fileType"":""word"",""contentFlag"":""InternalHyperlinks"",""flagType"":""sanitise"",""file"":""issues.docx"",""fileOutcome"":""Sanitised"",""fileExtension"":""Docx"",""outcomeValue"":""Safe""} @functional @TEST-212","Content Management policy is correctly applied to processed files {""fileType"":""word"",""contentFlag"":""InternalHyperlinks"",""flagType"":""sanitise"",""file"":""issues.docx"",""fileOutcome"":""Sanitised"",""fileExtension"":""Docx"",""outcomeValue"":""Safe""} @functional @TEST-212",""
"passed","Thu Jan 14 14:09:06 GMT 2021","Thu Jan 14 14:09:20 GMT 2021","14381","","request-history-filtering-by-date @request-history-filtering-by-date","","request-history-filtering-by-date @request-history-filtering-by-date","I can filter the request log using the time interval {""timeInterval"":""12 Hours"",""datetimeFrom"":""12"",""datetimeTo"":""current time""} @functional @smoke @TEST-167 @success","I can filter the request log using the time interval {""timeInterval"":""12 Hours"",""datetimeFrom"":""12"",""datetimeTo"":""current time""} @functional @smoke @TEST-167 @success",""
"passed","Thu Jan 14 14:08:49 GMT 2021","Thu Jan 14 14:09:06 GMT 2021","17216","","non-compliant-files-routing-mechanism @non-compliant-files-routing-mechanism","","non-compliant-files-routing-mechanism @non-compliant-files-routing-mechanism","I can change the outcome of unprocessable files {""routeOption"":""relay-unprocessableFileTypes"",""updatedRouteOption"":""Relay""} @functional @TEST-183","I can change the outcome of unprocessable files {""routeOption"":""relay-unprocessableFileTypes"",""updatedRouteOption"":""Relay""} @functional @TEST-183",""
"passed","Thu Jan 14 14:10:38 GMT 2021","Thu Jan 14 14:11:20 GMT 2021","41449","","request-history-log @request-history-log","","request-history-log @request-history-log","I can remove individual filters {""filterOne"":""png"",""filterTwo"":""Safe"",""filterToRemove"":""Safe"",""appliedFilter"":""png"",""filterValues"":""png""} @success @functional @TEST-189","I can remove individual filters {""filterOne"":""png"",""filterTwo"":""Safe"",""filterToRemove"":""Safe"",""appliedFilter"":""png"",""filterValues"":""png""} @success @functional @TEST-189",""
"passed","Thu Jan 14 14:11:59 GMT 2021","Thu Jan 14 14:13:04 GMT 2021","64812","","Content Management Policy Editing @content-management-policy-editing","","Content Management Policy Editing @content-management-policy-editing","I can update and publish both Adaptation and NCFS policies at the same time {""FileType"":""word"",""ContentFlag"":""EmbeddedImages"",""FlagType"":""sanitise"",""url"":""icap-client-qa.uksouth.cloudapp.azure.com"",""CurrentFlagType"":""disallow"",""CurrentUrl"":""testPrecondition""} @functional @TEST-241","I can update and publish both Adaptation and NCFS policies at the same time {""FileType"":""word"",""ContentFlag"":""EmbeddedImages"",""FlagType"":""sanitise"",""url"":""icap-client-qa.uksouth.cloudapp.azure.com"",""CurrentFlagType"":""disallow"",""CurrentUrl"":""testPrecondition""} @functional @TEST-241",""
"passed","Thu Jan 14 14:10:48 GMT 2021","Thu Jan 14 14:11:23 GMT 2021","35692","","Content Management Policy Editing @content-management-policy-editing","","Content Management Policy Editing @content-management-policy-editing","I can delete a draft policy {""FileType"":""excel"",""ContentFlag"":""ExternalHyperlinks"",""DraftFlagType"":""sanitise"",""CurrentFlagType"":""disallow""} @functional @TEST-239","I can delete a draft policy {""FileType"":""excel"",""ContentFlag"":""ExternalHyperlinks"",""DraftFlagType"":""sanitise"",""CurrentFlagType"":""disallow""} @functional @TEST-239",""
"failed","Thu Jan 14 14:09:53 GMT 2021","Thu Jan 14 14:10:11 GMT 2021","18751","","non-compliant-files-routing-mechanism @non-compliant-files-routing-mechanism","","non-compliant-files-routing-mechanism @non-compliant-files-routing-mechanism","A set routing policy for unprocessable files is correctly applied {""policyAction"":""relay-unprocessableFileTypes"",""file"":""structuralIssues.xlsx"",""fileOutcome"":""relayed""} @functional @TEST-234","A set routing policy for unprocessable files is correctly applied {""policyAction"":""relay-unprocessableFileTypes"",""file"":""structuralIssues.xlsx"",""fileOutcome"":""relayed""} @functional @TEST-234",""
"failed","Thu Jan 14 14:09:14 GMT 2021","Thu Jan 14 14:09:47 GMT 2021","32704","","content-management-previous-policy @content-management-previous-policy","","content-management-previous-policy @content-management-previous-policy","I can activate a previous policy @functional @TEST-219","I can activate a previous policy @functional @TEST-219",""
"passed","Thu Jan 14 14:10:37 GMT 2021","Thu Jan 14 14:11:11 GMT 2021","34023","","request-history-filtering-by-date @request-history-filtering-by-date","","request-history-filtering-by-date @request-history-filtering-by-date","I can filter the request log using a custom range {""datetimeFrom"":""25/10/2020 0:45 AM"",""datetimeTo"":""25/10/2020 0:45 AM""} @functional @TEST-235","I can filter the request log using a custom range {""datetimeFrom"":""25/10/2020 0:45 AM"",""datetimeTo"":""25/10/2020 0:45 AM""} @functional @TEST-235",""
"passed","Thu Jan 14 14:09:50 GMT 2021","Thu Jan 14 14:10:17 GMT 2021","26701","","Content Management Policy Editing @content-management-policy-editing","","Content Management Policy Editing @content-management-policy-editing","I can cancel any updates done to the draft policy {""FileType"":""powerpoint"",""ContentFlag"":""Metadata"",""DraftFlagType"":""sanitise"",""CurrentFlagType"":""disallow""} @functional @TEST-213","I can cancel any updates done to the draft policy {""FileType"":""powerpoint"",""ContentFlag"":""Metadata"",""DraftFlagType"":""sanitise"",""CurrentFlagType"":""disallow""} @functional @TEST-213",""
"passed","Thu Jan 14 14:09:57 GMT 2021","Thu Jan 14 14:10:38 GMT 2021","40916","","request-history-log @request-history-log","","request-history-log @request-history-log","I can remove individual filters {""filterOne"":""docx"",""filterTwo"":""Safe"",""filterToRemove"":""docx"",""appliedFilter"":""Safe"",""filterValues"":""SAFE""} @success @functional @TEST-189","I can remove individual filters {""filterOne"":""docx"",""filterTwo"":""Safe"",""filterToRemove"":""docx"",""appliedFilter"":""Safe"",""filterValues"":""SAFE""} @success @functional @TEST-189",""
"passed","Thu Jan 14 14:10:17 GMT 2021","Thu Jan 14 14:10:48 GMT 2021","30719","","Content Management Policy Editing @content-management-policy-editing","","Content Management Policy Editing @content-management-policy-editing","I can edit policy content flags {""FileType"":""excel"",""ContentFlag"":""InternalHyperlinks"",""DraftFlagType"":""sanitise"",""CurrentFlagType"":""disallow""} @functional @TEST-214","I can edit policy content flags {""FileType"":""excel"",""ContentFlag"":""InternalHyperlinks"",""DraftFlagType"":""sanitise"",""CurrentFlagType"":""disallow""} @functional @TEST-214",""
"passed","Thu Jan 14 14:11:11 GMT 2021","Thu Jan 14 14:11:37 GMT 2021","26347","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","filter the log by file type {""filter"":""docx"",""filteredFile"":""Docx""} @success @functional @demo @TEST-180","filter the log by file type {""filter"":""docx"",""filteredFile"":""Docx""} @success @functional @demo @TEST-180",""
"passed","Thu Jan 14 14:08:49 GMT 2021","Thu Jan 14 14:09:14 GMT 2021","25813","","content-management-previous-policy @content-management-previous-policy","","content-management-previous-policy @content-management-previous-policy","I can view previous Policy details @functional @TEST-218","I can view previous Policy details @functional @TEST-218",""
"failed","Thu Jan 14 14:08:49 GMT 2021","Thu Jan 14 14:09:05 GMT 2021","16655","","request-history-filtering-by-date @request-history-filtering-by-date","","request-history-filtering-by-date @request-history-filtering-by-date","I can filter the request log using the time interval {""timeInterval"":""1 Hour"",""datetimeFrom"":""1"",""datetimeTo"":""current time""} @functional @smoke @TEST-167 @success","I can filter the request log using the time interval {""timeInterval"":""1 Hour"",""datetimeFrom"":""1"",""datetimeTo"":""current time""} @functional @smoke @TEST-167 @success",""
"failed","Thu Jan 14 14:09:21 GMT 2021","Thu Jan 14 14:09:52 GMT 2021","31730","","non-compliant-files-routing-mechanism @non-compliant-files-routing-mechanism","","non-compliant-files-routing-mechanism @non-compliant-files-routing-mechanism","A set routing policy for Glasswall blocked files is correctly applied {""blockedPolicyAction"":""relay-glasswallBlockedFiles"",""fileType"":""word"",""contentFlag"":""EmbeddedFiles"",""flagType"":""disallow"",""file"":""issues.docx"",""fileOutcome"":""relayed""} @functional @TEST-233","A set routing policy for Glasswall blocked files is correctly applied {""blockedPolicyAction"":""relay-glasswallBlockedFiles"",""fileType"":""word"",""contentFlag"":""EmbeddedFiles"",""flagType"":""disallow"",""file"":""issues.docx"",""fileOutcome"":""relayed""} @functional @TEST-233",""
"passed","Thu Jan 14 14:09:22 GMT 2021","Thu Jan 14 14:09:50 GMT 2021","27966","","content-management-policy-application-to-files @content-management-policy-application-to-files","","content-management-policy-application-to-files @content-management-policy-application-to-files","Content Management policy is correctly applied to processed files {""fileType"":""pdf"",""contentFlag"":""ExternalHyperlinks"",""flagType"":""disallow"",""file"":""Execute+Java+Script_JS_PDF.pdf"",""fileOutcome"":""htmlReport"",""fileExtension"":""Pdf"",""outcomeValue"":""Blocked by Policy""} @functional @TEST-212","Content Management policy is correctly applied to processed files {""fileType"":""pdf"",""contentFlag"":""ExternalHyperlinks"",""flagType"":""disallow"",""file"":""Execute+Java+Script_JS_PDF.pdf"",""fileOutcome"":""htmlReport"",""fileExtension"":""Pdf"",""outcomeValue"":""Blocked by Policy""} @functional @TEST-212",""
"passed","Thu Jan 14 14:10:06 GMT 2021","Thu Jan 14 14:10:37 GMT 2021","31075","","request-history-filtering-by-date @request-history-filtering-by-date","","request-history-filtering-by-date @request-history-filtering-by-date","I can filter the request log using a custom range {""datetimeFrom"":""11/11/2020 4:26 AM"",""datetimeTo"":""11/11/2020 16:26 PM""} @functional @TEST-235","I can filter the request log using a custom range {""datetimeFrom"":""11/11/2020 4:26 AM"",""datetimeTo"":""11/11/2020 16:26 PM""} @functional @TEST-235",""
