"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","53","0","0","0","0"
"Infrastructure problems","53","0","0","0","0"
"Test passed","0","0","4","0","0"
"Ignored tests","0","0","0","2","0"
