"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 16 15:21:09 GMT 2020","Mon Nov 16 15:21:20 GMT 2020","10864","","file-drop-file-processing @file-drop-file-processing","","file-drop-file-processing @file-drop-file-processing","I can process a file through the file drop service {""supportedFile"":""src/data/input/structuralIssues.xlsx"",""fileName"":""structuralIssues.xlsx"",""fileType"":""xlsx"",""processStatus"":""Your file has been processed""} @smoke @TEST-230","I can process a file through the file drop service {""supportedFile"":""src/data/input/structuralIssues.xlsx"",""fileName"":""structuralIssues.xlsx"",""fileType"":""xlsx"",""processStatus"":""Your file has been processed""} @smoke @TEST-230",""
"failed","Mon Nov 16 15:20:47 GMT 2020","Mon Nov 16 15:20:58 GMT 2020","10904","","file-drop-file-process-result-view @file-drop-file-process-result-view","","file-drop-file-process-result-view @file-drop-file-process-result-view","I can see the result of a unrepaired file with the list of structural issues not removed {""fileWithIssues"":""src/data/input/file2.pdf"",""nonrepairedObject"":""Non-conforming image"",""processStatus"":""Your file has been processed""} @smoke @TEST-229","I can see the result of a unrepaired file with the list of structural issues not removed {""fileWithIssues"":""src/data/input/file2.pdf"",""nonrepairedObject"":""Non-conforming image"",""processStatus"":""Your file has been processed""} @smoke @TEST-229",""
"passed","Mon Nov 16 15:21:32 GMT 2020","Mon Nov 16 15:22:11 GMT 2020","39379","","Content Management Policy Editing @content-management-policy-editing","","Content Management Policy Editing @content-management-policy-editing","A user is able to change all content flags for all file type in policy page {""FileType"":""word"",""FlagType"":""sanitise""} @functional @smoke @TEST-Change-all-content-flag-for-all-doc-type","A user is able to change all content flags for all file type in policy page {""FileType"":""word"",""FlagType"":""sanitise""} @functional @smoke @TEST-Change-all-content-flag-for-all-doc-type",""
"failed","Mon Nov 16 15:21:14 GMT 2020","Mon Nov 16 15:21:25 GMT 2020","10856","","user-records-admin @user-records-admin","","user-records-admin @user-records-admin","I cannot delete my own account @smoke @TEST-191","I cannot delete my own account @smoke @TEST-191",""
"passed","Mon Nov 16 15:21:09 GMT 2020","Mon Nov 16 15:21:32 GMT 2020","22312","","Content Management Policy Editing @content-management-policy-editing","","Content Management Policy Editing @content-management-policy-editing","I can edit policy content flags {""FileType"":""excel"",""ContentFlags"":""externalHyperlinks"",""FlagType"":""disallow""} @functional @smoke @TEST-155","I can edit policy content flags {""FileType"":""excel"",""ContentFlags"":""externalHyperlinks"",""FlagType"":""disallow""} @functional @smoke @TEST-155",""
"passed","Mon Nov 16 15:21:46 GMT 2020","Mon Nov 16 15:22:30 GMT 2020","43586","","request-history-log @request-history-log","","request-history-log @request-history-log","I can remove individual filters {""filterOne"":""png"",""filterTwo"":""Safe"",""filterToRemove"":""Safe"",""appliedFilter"":""Png""} @functional @smoke @TEST-189","I can remove individual filters {""filterOne"":""png"",""filterTwo"":""Safe"",""filterToRemove"":""Safe"",""appliedFilter"":""Png""} @functional @smoke @TEST-189",""
"failed","Mon Nov 16 15:20:36 GMT 2020","Mon Nov 16 15:20:47 GMT 2020","11180","","file-drop-file-analysis-reporting @file-drop-file-analysis-reporting","","file-drop-file-analysis-reporting @file-drop-file-analysis-reporting","I can download the full PDF analysis report for a file {""supportedFile"":""src/data/input/file2.pdf"",""pdfFile"":""file2.pdf""} @smoke @TEST-226","I can download the full PDF analysis report for a file {""supportedFile"":""src/data/input/file2.pdf"",""pdfFile"":""file2.pdf""} @smoke @TEST-226",""
"failed","Mon Nov 16 15:20:58 GMT 2020","Mon Nov 16 15:21:09 GMT 2020","10840","","file-drop-file-processing @file-drop-file-processing","","file-drop-file-processing @file-drop-file-processing","I can process a file through the file drop service {""supportedFile"":""src/data/input/issues.docx"",""fileName"":""issues.docx"",""fileType"":""docx"",""processStatus"":""Your file has been processed""} @smoke @TEST-230","I can process a file through the file drop service {""supportedFile"":""src/data/input/issues.docx"",""fileName"":""issues.docx"",""fileType"":""docx"",""processStatus"":""Your file has been processed""} @smoke @TEST-230",""
"passed","Mon Nov 16 15:20:23 GMT 2020","Mon Nov 16 15:20:45 GMT 2020","21099","","content-management-policy-history @content-management-policy-history","","content-management-policy-history @content-management-policy-history","I can change the number of items displayed on a page {""itemCount"":""25"",""fileCount"":""25""} @smoke @TEST-217","I can change the number of items displayed on a page {""itemCount"":""25"",""fileCount"":""25""} @smoke @TEST-217",""
"passed","Mon Nov 16 15:21:12 GMT 2020","Mon Nov 16 15:21:39 GMT 2020","27264","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","filter the log by file type {""filter"":""docx"",""filteredFile"":""Docx""} @functional @smoke @TEST-163","filter the log by file type {""filter"":""docx"",""filteredFile"":""Docx""} @functional @smoke @TEST-163",""
"passed","Mon Nov 16 15:21:03 GMT 2020","Mon Nov 16 15:21:46 GMT 2020","43629","","request-history-log @request-history-log","","request-history-log @request-history-log","I can remove individual filters {""filterOne"":""docx"",""filterTwo"":""Safe"",""filterToRemove"":""docx"",""appliedFilter"":""Safe""} @functional @smoke @TEST-189","I can remove individual filters {""filterOne"":""docx"",""filterTwo"":""Safe"",""filterToRemove"":""docx"",""appliedFilter"":""Safe""} @functional @smoke @TEST-189",""
"passed","Mon Nov 16 15:20:45 GMT 2020","Mon Nov 16 15:21:05 GMT 2020","19932","","content-management-policy-history @content-management-policy-history","","content-management-policy-history @content-management-policy-history","I can change the number of items displayed on a page {""itemCount"":""100"",""fileCount"":""100""} @smoke @TEST-217","I can change the number of items displayed on a page {""itemCount"":""100"",""fileCount"":""100""} @smoke @TEST-217",""
"passed","Mon Nov 16 15:20:41 GMT 2020","Mon Nov 16 15:20:56 GMT 2020","15533","","request-history-filtering-by-date @request-history-filtering-by-date","","request-history-filtering-by-date @request-history-filtering-by-date","I can filter the request log using the time interval {""timeInterval"":""12 Hours"",""datetimeFrom"":""12"",""datetimeTo"":""current time""} @functional @smoke @TEST-167","I can filter the request log using the time interval {""timeInterval"":""12 Hours"",""datetimeFrom"":""12"",""datetimeTo"":""current time""} @functional @smoke @TEST-167",""
"failed","Mon Nov 16 15:20:24 GMT 2020","Mon Nov 16 15:20:36 GMT 2020","12169","","file-drop-file-process-result-view @file-drop-file-process-result-view","","file-drop-file-process-result-view @file-drop-file-process-result-view","I can download the full analysis report of a processed file {""supportedFile"":""src/data/input/issues.docx"",""analysisReport"":""issues.docx.xml""} @smoke @TEST-227","I can download the full analysis report of a processed file {""supportedFile"":""src/data/input/issues.docx"",""analysisReport"":""issues.docx.xml""} @smoke @TEST-227",""
"passed","Mon Nov 16 15:20:56 GMT 2020","Mon Nov 16 15:21:12 GMT 2020","15547","","request-history-filtering-by-date @request-history-filtering-by-date","","request-history-filtering-by-date @request-history-filtering-by-date","I can filter the request log using the time interval {""timeInterval"":""24 Hours"",""datetimeFrom"":""24"",""datetimeTo"":""current time""} @functional @smoke @TEST-167","I can filter the request log using the time interval {""timeInterval"":""24 Hours"",""datetimeFrom"":""24"",""datetimeTo"":""current time""} @functional @smoke @TEST-167",""
"passed","Mon Nov 16 15:22:11 GMT 2020","Mon Nov 16 15:22:50 GMT 2020","39354","","Content Management Policy Editing @content-management-policy-editing","","Content Management Policy Editing @content-management-policy-editing","A user is able to change all content flags for all file type in policy page {""FileType"":""pdf"",""FlagType"":""disallow""} @functional @smoke @TEST-Change-all-content-flag-for-all-doc-type","A user is able to change all content flags for all file type in policy page {""FileType"":""pdf"",""FlagType"":""disallow""} @functional @smoke @TEST-Change-all-content-flag-for-all-doc-type",""
