"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Dec 17 19:31:56 GMT 2020","Thu Dec 17 19:31:58 GMT 2020","2504","","request-history-log @request-history-log","","request-history-log @request-history-log","Validate requests log view using a combination of multiple filters {""riskFilter"":""Safe"",""typeFilter"":""png"",""fileIdFilter"":"""",""appliedFilters"":""Safe_png"",""filterValues"":""SAFE_png""} @success @functional @TEST-179","Validate requests log view using a combination of multiple filters {""riskFilter"":""Safe"",""typeFilter"":""png"",""fileIdFilter"":"""",""appliedFilters"":""Safe_png"",""filterValues"":""SAFE_png""} @success @functional @TEST-179",""
"failed","Thu Dec 17 19:31:53 GMT 2020","Thu Dec 17 19:31:55 GMT 2020","2613","","content-management-previous-policy @content-management-previous-policy","","content-management-previous-policy @content-management-previous-policy","I can view previous Policy details @functional @TEST-218","I can view previous Policy details @functional @TEST-218",""
"failed","Thu Dec 17 19:31:56 GMT 2020","Thu Dec 17 19:31:58 GMT 2020","2415","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","filter the log by file type {""filter"":""docx"",""filteredFile"":""Docx""} @success @functional @demo @TEST-180","filter the log by file type {""filter"":""docx"",""filteredFile"":""Docx""} @success @functional @demo @TEST-180",""
"skipped","Thu Dec 17 19:31:56 GMT 2020","Thu Dec 17 19:31:56 GMT 2020","0","","content-management-policy-application-to-files @content-management-policy-application-to-files","","content-management-policy-application-to-files @content-management-policy-application-to-files","Content Management policy is correctly applied to processed files {""fileType"":""pdf"",""contentFlag"":""ExternalHyperlinks"",""flagType"":""disallow"",""file"":""Execute+Java+Script_JS_PDF.pdf"",""fileOutcome"":""htmlReport""} @functional @TEST-212","Content Management policy is correctly applied to processed files {""fileType"":""pdf"",""contentFlag"":""ExternalHyperlinks"",""flagType"":""disallow"",""file"":""Execute+Java+Script_JS_PDF.pdf"",""fileOutcome"":""htmlReport""} @functional @TEST-212",""
"skipped","Thu Dec 17 19:31:59 GMT 2020","Thu Dec 17 19:31:59 GMT 2020","0","","Content Management Policy Editing @content-management-policy-editing","","Content Management Policy Editing @content-management-policy-editing","I can publish a draft Adaptation Policy {""FileType"":""pdf"",""ContentFlag"":""Acroform"",""DraftFlagType"":""disallow"",""CurrentFlagType"":""sanitise""} @functional @TEST-240","I can publish a draft Adaptation Policy {""FileType"":""pdf"",""ContentFlag"":""Acroform"",""DraftFlagType"":""disallow"",""CurrentFlagType"":""sanitise""} @functional @TEST-240",""
"failed","Thu Dec 17 19:31:56 GMT 2020","Thu Dec 17 19:31:59 GMT 2020","2460","","request-history-file-detail-view @request-history-file-detail-view","","request-history-file-detail-view @request-history-file-detail-view","I am able to view more detail on a file @functional @prototype @TEST-169 @Fail-Code","I am able to view more detail on a file @functional @prototype @TEST-169 @Fail-Code",""
"failed","Thu Dec 17 19:31:53 GMT 2020","Thu Dec 17 19:31:56 GMT 2020","2801","","non-compliant-files-routing-mechanism @non-compliant-files-routing-mechanism","","non-compliant-files-routing-mechanism @non-compliant-files-routing-mechanism","I can change the outcome of unprocessable files {""routeOption"":""Relay"",""updatedRouteOption"":""Relay""} @functional @TEST-183","I can change the outcome of unprocessable files {""routeOption"":""Relay"",""updatedRouteOption"":""Relay""} @functional @TEST-183",""
"skipped","Thu Dec 17 19:31:56 GMT 2020","Thu Dec 17 19:31:56 GMT 2020","0","","request-history-filtering-by-date @request-history-filtering-by-date","","request-history-filtering-by-date @request-history-filtering-by-date","I can filter the request log using the time interval {""timeInterval"":""24 Hours"",""datetimeFrom"":""24"",""datetimeTo"":""current time""} @functional @smoke @TEST-167 @success","I can filter the request log using the time interval {""timeInterval"":""24 Hours"",""datetimeFrom"":""24"",""datetimeTo"":""current time""} @functional @smoke @TEST-167 @success",""
"skipped","Thu Dec 17 19:31:56 GMT 2020","Thu Dec 17 19:31:56 GMT 2020","0","","content-management-previous-policy @content-management-previous-policy","","content-management-previous-policy @content-management-previous-policy","I can activate a previous policy @functional @TEST-219","I can activate a previous policy @functional @TEST-219",""
"skipped","Thu Dec 17 19:31:59 GMT 2020","Thu Dec 17 19:31:59 GMT 2020","0","","request-history-log @request-history-log","","request-history-log @request-history-log","I can remove individual filters {""filterOne"":""png"",""filterTwo"":""Safe"",""filterToRemove"":""Safe"",""appliedFilter"":""png"",""filterValues"":""png""} @success @functional @TEST-189","I can remove individual filters {""filterOne"":""png"",""filterTwo"":""Safe"",""filterToRemove"":""Safe"",""appliedFilter"":""png"",""filterValues"":""png""} @success @functional @TEST-189",""
