"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","51","0","0","0","0"
"Infrastructure problems","51","0","0","0","0"
"Test passed","0","0","6","0","0"
"Ignored tests","0","0","0","2","0"
